"","8400","0,00"
"","8410","185.518,25"
"","8420","6.334,07"
"","8430","49.413,39"
"","8450","4.435,33"
"","8490","245.701,04"
"","8500","0,00"
"","8510","7.573,23"
"","8520","2.328,92"
"","8530","36.625,45"
"","8590","46.527,60"
"","8600","0,00"
"","8610","267,39"
"","8620","22.690,31"
"","8630","24.209,76"
"","8640","46.314,43"
"","8690","93.481,89"
"","8695","1.096.816,83"
"","8700","0,00"
"","8710","2.072.335,10"
"","8720","591.009,15"
"","8730","11.830,94"
"","8740","290.702,89"
"","8750","53.893,01"
"","8790","3.019.771,09"
"","8800","0,00"
"","8810","190.718,18"
"","8820","224.732,72"
"","8830","54.088,61"
"","8840","0,00"
"","8890","469.539,51"
"","8910","4.026,24"
"","8995","-488.490,54"
"","9100","0,00"
"","9110","-2.939,08"
"","9120","0,00"
"","9130","0,00"
"","9135","0,00"
"","9140","0,00"
"","9150","0,00"
"","9160","0,00"
"","9170","0,00"
"","9190","-2.939,08"
"","9200","0,00"
"","9210","73.024,83"
"","9220","4.681,22"
"","9230","117.581,18"
"","9240","133.232,21"
"","9250","4.235,28"
"","9255","0,00"
"","9260","0,00"
"","9270","0,00"
"","9290","332.754,72"
"","9310","0,09"
"","9320","2.329,14"
"","9330","0,00"
"","9340","0,00"
"","9395","-156.345,67"
"","9410","0,00"
"","9420","1.183,10"
"","9495","-155.162,57"
"","9510","86.651,10"
"","9999","-68.511,47"
